,BTC-USD,^GSPC,^VIX,DX-Y.NYB,US10Y,BREAKEVEN,BTC_ret,SPX_ret
2017-01-04,1154.72998046875,2270.75,11.850000381469727,102.69999694824219,2.46,1.99,0.10623277348965399,0.005722273788525856
2017-01-05,1013.3800048828125,2269.0,11.670000076293945,101.5199966430664,2.37,1.95,-0.12240954853233998,-0.0007706704833204681
2017-01-06,902.2009887695312,2276.97998046875,11.319999694824219,102.22000122070312,2.42,1.96,-0.10971108130965934,0.0035169592193697863
2017-01-09,902.8280029296875,2268.89990234375,11.5600004196167,101.93000030517578,2.38,1.95,0.000694982789823051,-0.0035485942758867184
2017-01-10,907.6790161132812,2268.89990234375,11.489999771118164,102.01000213623047,2.38,1.95,0.005373131059129843,0.0
2017-01-11,777.7570190429688,2275.320068359375,11.260000228881836,101.77999877929688,2.38,1.99,-0.14313649953773722,0.0028296382793233654
2017-01-12,804.833984375,2270.43994140625,11.539999961853027,101.3499984741211,2.36,1.98,0.03481417032449219,-0.0021448089967596173
2017-01-13,823.9840087890625,2274.639892578125,11.229999542236328,101.18000030517578,2.4,1.99,0.023793757204392474,0.0018498402425362048
2017-01-16,831.5339965820312,2274.639892578125,11.229999542236328,101.18000030517578,2.4,1.99,0.009162784365274623,0.0
2017-01-17,907.93798828125,2267.889892578125,11.869999885559082,100.33000183105469,2.33,1.97,0.09188318458808964,-0.0029675026899970147
2017-01-18,886.6179809570312,2271.889892578125,12.479999542236328,100.93000030517578,2.42,2.0,-0.02348178796282996,0.0017637540575008437
2017-01-19,899.072998046875,2263.68994140625,12.779999732971191,101.1500015258789,2.47,2.04,0.0140477831009016,-0.003609308355419394
2017-01-20,895.0260009765625,2271.31005859375,11.539999961853027,100.73999786376953,2.48,2.04,-0.004501299759979593,0.003366237154707852
2017-01-23,921.0120239257812,2265.199951171875,11.770000457763672,100.16000366210938,2.41,2.02,0.029033819040860775,-0.002690124758069401
2017-01-24,892.68701171875,2280.070068359375,11.069999694824219,100.3499984741211,2.47,2.06,-0.030754226298042142,0.006564593637664151
2017-01-25,901.5419921875,2298.3701171875,10.8100004196167,100.02999877929688,2.53,2.08,0.00991946824867651,0.008026090549617448
2017-01-26,917.5859985351562,2296.679931640625,10.630000114440918,100.37999725341797,2.51,2.08,0.01779618308042097,-0.0007353844075136395
2017-01-27,919.75,2294.68994140625,10.579999923706055,100.52999877929688,2.49,2.08,0.0023583636501629535,-0.000866463892926328
2017-01-30,920.3820190429688,2280.89990234375,11.880000114440918,100.43000030517578,2.49,2.07,0.0006871639499523852,-0.006009543517695892
2017-01-31,970.4030151367188,2278.8701171875,11.989999771118164,99.51000213623047,2.45,2.05,0.05434808053482265,-0.0008899054071440649
2017-02-01,989.0230102539062,2279.550048828125,11.8100004196167,99.63999938964844,2.48,2.05,0.019187899075688852,0.00029836348965073256
2017-02-02,1011.7999877929688,2280.85009765625,11.930000305175781,99.8499984741211,2.48,2.05,0.02302977514468041,0.0005703094032936118
2017-02-03,1029.9100341796875,2297.419921875,10.970000267028809,99.87000274658203,2.49,2.05,0.01789884028979083,0.007264758098647794
2017-02-06,1038.1500244140625,2292.56005859375,11.369999885559082,99.91000366210938,2.42,2.02,0.008000689342674505,-0.002115356985885164
2017-02-07,1061.3499755859375,2293.080078125,11.289999961853027,100.26000213623047,2.4,2.0,0.022347397414905545,0.00022682918569594257
2017-02-08,1063.0699462890625,2294.669921875,11.449999809265137,100.27999877929688,2.34,1.96,0.0016205500001782447,0.0006933223855400961
2017-02-09,994.3829956054688,2307.8701171875,10.880000114440918,100.6500015258789,2.4,1.99,-0.06461188271135343,0.005752546449780516
2017-02-10,988.6740112304688,2316.10009765625,10.850000381469727,100.80000305175781,2.41,2.01,-0.005741232905460025,0.003566050102845164
